,name,lat,lon,geometry,travel_bus
224,씨라이프 부산아쿠아리움,35.1592713,129.1610038,POINT (129.1610038 35.1592713),해운대해수욕장
225,부산어린이대공원,35.1829938,129.0463494,POINT (129.0463494 35.1829938),어린이대공원
226,부산어린이워터파크 키드키득파크,35.1892737,129.0410266,POINT (129.0410266 35.1892737),대진세탁소
227,삼진어묵체험역사관,35.0929647,129.042794,POINT (129.042794 35.0929647),봉래시장
228,부산어촌민속관,35.2335364,129.0088228,POINT (129.0088228 35.2335364),장미공원
229,부산엑스더스카이,35.1597189,129.1696769,POINT (129.1696769 35.1597189),미포.문탠로드입구
230,부산영화체험박물관,35.1007203,129.0341698,POINT (129.0341698 35.1007203),부산데파트
231,부산영화촬영스튜디오,35.160915,129.1405557,POINT (129.1405557 35.160915),요트경기장.경남마리나아파트
232,부산요트투어 3355마린,35.160915,129.1405557,POINT (129.1405557 35.160915),요트경기장.경남마리나아파트
233,부산원도심골목길축제,35.1007009,129.0323127,POINT (129.0323127 35.1007009),국제시장.부산근대역사관
234,부산원아시아페스티벌(BOF),35.1899786,129.0582686,POINT (129.0582686 35.1899786),부산의료원
235,부산자갈치축제,35.0966394,129.0305933,POINT (129.0305933 35.0966394),신동아시장
236,부산자연곤충마을,35.2216282,128.9454039,POINT (128.9454039 35.2216282),대사리3구
237,부산자유회관(부산통일관),35.1822629,129.0457142,POINT (129.0457142 35.1822629),어린이대공원
238,부산점자도서관,35.1781075,128.9898274,POINT (128.9898274 35.1781075),사상도서관
239,부산진성공원,35.1360296,129.0613943,POINT (129.0613943 35.1360296),자성대
240,부산진일신여학교,35.1348219,129.0529022,POINT (129.0529022 35.1348219),금성고등학교
241,부산차량융합기술단(부산철도차량정비단),35.159513,129.0419293,POINT (129.0419293 35.159513),당감1치안센터
242,부산푸드필름페스타,35.1618686,129.1587994,POINT (129.1587994 35.1618686),해운대도시철도역
243,부산항 힐링야영장,35.11493,129.0453984,POINT (129.0453984 35.11493),부산역후문
244,부산항축제,35.0783256,129.0798565,POINT (129.0798565 35.0783256),국립해양박물관
245,부산해양자연사박물관,35.2219498,129.0756469,POINT (129.0756469 35.2219498),해양자연사박물관
246,부산현대미술관,35.1092764,128.9427503,POINT (128.9427503 35.1092764),부산현대미술관
247,북맛골,35.2370218,129.0831233,POINT (129.0831233 35.2370218),부산대제2도서관
248,브라운핸즈 백제,35.1163493,129.039158,POINT (129.039158 35.1163493),부산역
249,브릭캠퍼스 부산,35.1920492,129.2154602,POINT (129.2154602 35.1920492),동부산관광단지
250,블랙업커피,35.156058,129.0600014,POINT (129.0600014 35.156058),서면역.서면지하상가
251,비비비당,35.1624833,129.1850753,POINT (129.1850753 35.1624833),동해사
252,비석문화마을,35.0997958,129.0125588,POINT (129.0125588 35.0997958),산상교회.비석문화마을
253,사까에,35.1601338,129.1646875,POINT (129.1646875 35.1601338),파라다이스호텔
254,사상강변축제,35.1963367,128.9842505,POINT (128.9842505 35.1963367),삼락동
255,사상근린공원,35.1522143,128.9766915,POINT (128.9766915 35.1522143),낙동대교입구
256,산복도로,35.1145501,129.0330424,POINT (129.0330424 35.1145501),영주삼거리
257,삼광사,35.1754288,129.0433882,POINT (129.0433882 35.1754288),삼광사
258,삼광사연등축제,35.1754288,129.0433882,POINT (129.0433882 35.1754288),삼광사
259,삼락벚꽃축제,35.1688207,128.9764729,POINT (128.9764729 35.1688207),삼락생태공원
260,삼락생태공원,35.1687484,128.9735403,POINT (128.9735403 35.1687484),삼락생태공원
261,삼락생태공원오토캠핑장,35.1688207,128.9764729,POINT (128.9764729 35.1688207),삼락생태공원
262,삼락수상레포츠타운,35.1694172,128.965698,POINT (128.965698 35.1694172),동방
263,삼익비치수변공원,35.1456754,129.1134193,POINT (129.1134193 35.1456754),광남초등학교
264,삼진어묵체험·역사관,35.0929647,129.042794,POINT (129.042794 35.0929647),봉래시장
265,상국이네,35.1619919,129.1629534,POINT (129.1629534 35.1619919),해운대시장
266,서면1번가,35.1535608,129.0582888,POINT (129.0582888 35.1535608),서면1번가
267,서면메디컬스트리트축제,35.1542841,129.0573158,POINT (129.0573158 35.1542841),서면1번가
268,서면미술관,35.1540272,129.062776,POINT (129.062776 35.1540272),부전도서관
269,서프마린,35.1433894,129.1103248,POINT (129.1103248 35.1433894),수영세무서
270,선암사,35.176937,129.0277633,POINT (129.0277633 35.176937),선암사입구
271,성암사,35.1456257,129.0798654,POINT (129.0798654 35.1456257),문현현대아파트
272,성지곡수원지,35.1858587,129.0420056,POINT (129.0420056 35.1858587),대림아파트
273,센텀 APEC나루공원,35.1896763,129.1209212,POINT (129.1209212 35.1896763),동해선재송역
274,센텀시티 아이스링크,35.1687032,129.1297466,POINT (129.1297466 35.1687032),센텀시티
275,소두방공원,35.3279169,129.1817747,POINT (129.1817747 35.3279169),정관박물관
