,parking_nm,addr,Latitude,Longitude
301,수2-1(주거지),부산광역시 동구 수정중로 10,35.129432,129.0439971
302,수5-5(주거지),부산광역시 동구 수정공원로 131,35.1357981,129.0430041
303,수5-6(주거지),부산광역시 동구 수정중로37번길 12,35.1319597,129.0450213
304,수5-7(주거지),부산광역시 동구 수정북로23번길 2,35.1323985,129.043471
305,수5-8(주거지),부산광역시 동구 진성로71번길 33,35.1327044,129.0454159
306,수5-9(주거지),부산광역시 동구 수성로41번길 12,35.1357217,129.0438023
307,수1-4(주거지),부산광역시 동구 망양로 672,35.1261216,129.0401697
308,수5-11(주거지),부산광역시 동구 수성로21,35.1345788,129.042125
309,범1-10(주거지),부산광역시 동구 증산로162번길 14-11,35.139977,129.053729
310,범1-17(주거지),부산광역시 동구 성북로 42-1,35.1376693,129.049693
311,초6-8(주거지),부산광역시 동구 구봉로8,35.1212013,129.0382322
312,송정호안도로,부산광역시 해운대구 송정동 288-44번지 일원,35.1805627,129.2051179
313,송정 광어골,부산광역시 해운대구 송정동 462번지 일원,35.1755329,129.1962207
314,해운대교육지원청주변공영,"부산광역시 해운대구 좌동 1290, 1407-6번지 일원",35.1769987,129.1755813
